NV3 	3,500,000 	1997 	NVIDIA 	350 nm 	90 mm²
Rage 128 	8,000,000 	1999 	AMD 	250 nm 	70 mm²
NV5 	15,000,000 	1999 	NVIDIA 	250 nm 	
NV10 	17,500,000 	1999 	NVIDIA 	220 nm 	111 mm²
NV11 	20,000,000 	2000 	NVIDIA 	180 nm 	65 mm²
NV15 	25,000,000 	2000 	NVIDIA 	180 nm 	81 mm²
R100 	30,000,000 	2000 	AMD 	180 nm 	97 mm²
NV20 	57,000,000 	2001 	NVIDIA 	150 nm 	128 mm²
R200 	60,000,000 	2001 	AMD 	150 nm 	68 mm²
NV25 	63,000,000 	2002 	NVIDIA 	150 nm 	142 mm²
R300 	107,000,000 	2002 	AMD 	150 nm 	218 mm²
R360 	117,000,000 	2003 	AMD 	150 nm 	218 mm²
NV38 	135,000,000 	2003 	NVIDIA 	130 nm 	207 mm²
R480 	160,000,000 	2004 	AMD 	130 nm 	297 mm²
NV40 	222,000,000 	2004 	NVIDIA 	130 nm 	305 mm²
G70 	303,000,000 	2005 	NVIDIA 	110 nm 	333 mm²
R520 	321,000,000 	2005 	AMD 	90 nm 	288 mm²
R580 	384,000,000 	2006 	AMD 	90 nm 	352 mm²
G80 	681,000,000 	2006 	NVIDIA 	90 nm 	480 mm²
R600 Pele 	700,000,000 	2007 	AMD 	80 nm 	420 mm²
G92 	754,000,000 	2007 	NVIDIA 	65 nm 	324 mm²
RV790XT Spartan 	959,000,000 	2008 	AMD 	55 nm 	282 mm²
GT200 Tesla 	1,400,000,000 	2008 	NVIDIA 	65 nm 	576 mm²
Cypress RV870 	2,154,000,000 	2009 	AMD 	40 nm 	334 mm²
Cayman RV970 	2,640,000,000 	2010 	AMD 	40 nm 	389 mm²
GF100 Fermi 	3,200,000,000 	2010 	NVIDIA 	40 nm 	526 mm²
GF110 Fermi 	3,000,000,000 	2010 	NVIDIA 	40 nm 	520 mm²
GK104 Kepler 	3,540,000,000 	2012 	NVIDIA 	28 nm 	294 mm²
Tahiti RV1070 	4,312,711,873 	2011 	AMD 	28 nm 	365 mm²
GK110 Kepler 	7,080,000,000 	2012 	NVIDIA 	28 nm 	561 mm²
RV1090 or RV1170 Hawaï 	6,300,000,000 	2013 	AMD 	28 nm 	438 mm²
